formation_year,oos_year,ISIN,NAME,weight
2013,2014,GB00B3DGH821,DE LA RUE ORD DEAD - DELIST.03/07/25,0.053929822033714846
2013,2014,GB00B3FLWH99,BODYCOTE,0.0
2013,2014,GB00B45C9X44,CHEMRING GROUP,0.0
2013,2014,GB00B572ZV91,PHAROS ENERGY,0.0
2013,2014,GB00B5N0P849,WOOD GROUP (JOHN),9.546199233636404e-19
2013,2014,GB00B5ZN1N88,SEGRO,0.0
2013,2014,GB00B61TVQ02,INCHCAPE,2.123890467072687e-18
2013,2014,GB00B63H8491,ROLLS-ROYCE HOLDINGS,0.0
2013,2014,GB00B63QSB39,GREGGS,0.0019733966394904667
2013,2014,GB00B67G5X01,WORKSPACE GROUP,0.0
2013,2014,GB00B6YTLS95,STAGECOACH GROUP DEAD - DELIST.28/06/22,0.0
2013,2014,GB00B7KR2P84,EASYJET,1.242073500376664e-18
2013,2014,GB00B82YXW83,VESUVIUS,3.774719328990695e-18
2013,2014,GB00B8C3BL03,THE SAGE GROUP,0.0
2013,2014,GB00BD6K4575,COMPASS GROUP,2.555907496778016e-18
2013,2014,GB00BDCPN049,COCA COLA EUROPACIFIC PARTNERS,0.0
2013,2014,GB00BDR05C01,NATIONAL GRID,0.0
2013,2014,GB00BF044593,CLS HOLDINGS,0.0
2013,2014,GB00BF5H9P87,GREAT PORTLAND ESTATES,0.0
2013,2014,GB00BF8Q6K64,ABERDEEN GROUP,2.310563567551491e-18
2013,2014,GB00BG11K365,REDROW DEAD - DELIST.23/08/24,0.0
2013,2014,GB00BGDT3G23,RIGHTMOVE,9.532326678300893e-20
2013,2014,GB00BGLP8L22,IMI,3.038667335476729e-18
2013,2014,GB00BH4HKS39,VODAFONE GROUP,0.028997601175870615
2013,2014,GB00BHJYC057,ICTL.HTLS.GP.,0.012631690275549098
2013,2014,GB00BJ1F4N75,MICRO FOCUS INTL. DEAD - DELIST.01/02/23,3.2905355936418333e-19
2013,2014,GB00BJFFLV09,CRODA INTERNATIONAL,0.0
2013,2014,GB00BJQZC279,DAILY MAIL 'A' DEAD - DELIST.10/01/22,0.0
2013,2014,GB00BK9RKT01,TRAVIS PERKINS,0.0
2013,2014,GB00BKP36R26,HYVE GROUP DEAD - DELIST.23/05/23,1.5705283362989241e-18
2013,2014,GB00BKY40Q38,GALLIFORD TRY,2.117825303924958e-18
2013,2014,GB00BL6XZ716,CAPITAL & REGIONAL DEAD - DELIST.11/12/24,0.0
2013,2014,GB00BLGZ9862,TESCO,0.0
2013,2014,GB00BM8PJY71,NATWEST GROUP,1.5420906482114028e-18
2013,2014,GB00BMJ6DW54,INFORMA,0.0
2013,2014,GB00BN7SWP63,GLAXOSMITHKLINE,0.021168082766723433
2013,2014,GB00BNGDN821,MELROSE INDUSTRIES,0.0
2013,2014,GB00BNNTLN49,PENNON GROUP,6.820857340080891e-18
2013,2014,GB00BNR4T868,RENEWI DEAD - DELIST.09/06/25,2.3692739976400723e-18
2013,2014,GB00BP6MXD84,SHELL,0.0
2013,2014,GB00BP92CJ43,TATE & LYLE,0.003848599997673858
2013,2014,GB00BP9LHF23,SCHRODERS,1.9158978815921747e-18
2013,2014,GB00BPQY8M80,AVIVA,1.941353198139421e-18
2013,2014,GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,0.04976515118760408
2013,2014,GB00BV9FP302,COMPUTACENTER,0.0
2013,2014,GB00BVFNZH21,ROTORK,0.0
2013,2014,GB00BWFGQN14,SPIRAX GROUP,1.0864620659139842e-17
2013,2014,GB00BYQ0JC66,BEAZLEY,0.0
2013,2014,GB00BYT1DJ19,ICG,0.0
2013,2014,GB00BYW0PQ60,LAND SECURITIES GROUP,1.1285499818145593e-18
2013,2014,GB00BYYTFB60,HOMESERVE DEAD - DELIST.05/01/23,0.0
2013,2014,GB00BZ4BQC70,JOHNSON MATTHEY,1.1005823226676968e-18
2013,2014,IE0001827041,CRH PUBLIC LIMITED,0.0
2013,2014,IE0002424939,DCC,0.0
2013,2014,IE0003864109,GREENCORE GROUP,6.293667179185701e-19
2013,2014,IE0004927939,KINGSPAN GROUP,0.0
2013,2014,IE00B4BNMY34,ACCENTURE CLASS A,0.0
2013,2014,IE00B8KQN827,EATON,0.0
